Annee;Temperature_annuelle_moyenne;Max_Temperature_annuelle_moyenne;Min_Temperature_annuelle_moyenne;Quantite_totale_precipitations;Vitesse_annuelle_moyenne_du_vent;Nombre_de_jours_avec_pluie;Nombre_de_jours_avec_neige;Nombre_de_jours_avec_orage;Nombre_de_jours_avec_brouillard;Nombre_de_jours_avec_grele;Ville;Latitude;Longitude
1973;11.5;16.3;7.0;558.24;12.3;150;1;13;65;0;Nantes;47.15;-1.6 
1974;11.8;16.2;7.5;827.29;15.2;202;0;12;46;2;Nantes;47.16;-1.7
1975;11.8;16.3;7.4;642.64;13.3;166;5;17;63;0;Nantes;47.17;-1.8
1976;12.4;17.3;7.6;638.34;12.6;157;3;16;63;1;Nantes;47.18;-1.9
1977;11.5;16.8;7.5;859.77;14.3;202;1;14;54;2;Nantes;47.19;-1.10
1978;11.4;17.0;7.0;874.05;15.0;169;7;13;51;2;Nantes;47.20;-1.11
1979;11.2;15.2;7.2;885.95;13.3;186;4;6;69;7;Nantes;47.21;-1.12
1980;10.9;14.6;6.9;770.45;13.9;179;2;12;54;2;Nantes;47.22;-1.13
1981;12.3;15.9;8.4;980.16;14.6;187;3;16;36;3;Nantes;47.23;-1.14
1982;12.9;17.1;8.5;1030.24;14.6;184;2;23;57;7;Nantes;47.24;-1.15
1983;12.5;16.6;8.3;942.55;14.8;175;3;27;52;1;Nantes;47.25;-1.16
1984;12.3;16.4;7.7;1115.85;14.2;178;2;15;58;4;Nantes;47.26;-1.17
1985;11.6;16.0;7.1;778.01;14.1;167;13;15;61;4;Nantes;47.27;-1.18
1986;11.4;15.5;7.1;851.64;14.6;199;12;18;45;5;Nantes;47.28;-1.19
1987;11.7;15.6;7.5;677.44;14.5;171;11;17;52;5;Nantes;47.29;-1.20
1988;12.6;16.5;8.5;827.04;14.5;175;6;10;52;4;Nantes;47.30;-1.21
1989;-;-;-;-;-;-;-;-;-;-;Nantes;47.31;-1.22
1990;13.5;18.3;8.8;649.61;14.2;162;3;15;59;7;Nantes;47.32;-1.23
1991;11.8;16.8;7.7;630.51;14.2;168;8;7;46;1;Nantes;47.33;-1.24
1992;12.2;17.3;7.6;688.16;13.7;182;1;15;40;3;Nantes;47.34;-1.25
1993;11.8;16.5;7.4;685.17;14.1;167;1;11;53;1;Nantes;47.35;-1.26
1994;13.1;17.3;8.8;1009.90;14.4;190;4;14;38;3;Nantes;47.36;-1.27
1995;13.0;17.5;8.3;840.96;14.3;166;5;9;41;0;Nantes;47.37;-1.28
1996;11.8;16.3;7.1;648.79;14.0;147;4;3;40;0;Nantes;47.38;-1.29
1997;13.1;17.8;8.3;642.75;14.1;154;9;7;49;2;Nantes;47.39;-1.30
